City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
646,Dongli,CN,73.38,few clouds,23.5656,116.8194,Chenghai Shizhang Donghuaqiao Hostel
647,Port Augusta,AU,77.45,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
648,Balod,IN,80.65,clear sky,20.73,81.2047,CJM Bunglow
650,Manokwari,ID,80.4,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
651,Nuqui,CO,79.88,light rain,5.7125,-77.2708,Hotel Nuquimar
652,Riyadh,SA,86.14,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
654,Saquena,PE,79.2,overcast clouds,-4.6667,-73.5167,
655,Iaciara,BR,85.86,overcast clouds,-14.0958,-46.6317,Hotel Matinha
661,Jambi,ID,76.57,overcast clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
662,Ilo,PE,72.82,few clouds,-17.6394,-71.3375,Torreblanca Hotel
663,Alice Springs,AU,76.55,few clouds,-23.7,133.8833,Desert Palms Alice Springs
666,Bam,IR,86.36,broken clouds,29.106,58.357,Bam Tourist Hotel
668,Kawalu,ID,74.64,heavy intensity rain,-7.3817,108.2082,West Jontor
671,Carupano,VE,81.01,overcast clouds,10.6678,-63.2585,Hotel La dorada
674,Tutoia,BR,84.81,broken clouds,-2.7619,-42.2744,Pousada Guará's
675,Mastung,PK,73.33,clear sky,29.7994,66.845,Al Hasnan Cold Drink Santer
676,Abha,SA,75.02,few clouds,18.2164,42.5053,Abha Hotel
677,Domoni,KM,82.09,overcast clouds,-12.2569,44.5319,Al Djadid
